objectid,route_name_ruta_troncal,nombre_ruta_troncal,servicio_unico_ruta_troncal,origen_ruta_troncal,destino_ruta_troncal,desc_tipo_ruta_troncal,tipo_operacion,desc_tipo_bus_ruta_troncal,horario_lunes_viernes,horario_sabado,horario_domingo_festivo,estado_ruta_troncal,longitud_comercial,longitud_ruta_troncal,log_replica,created_user,created_date,last_edited_user,last_edited_date,tipo_ruta_troncal,tipo_bus_ruta_troncal,globalid,shape_Length
1,G43C,G43C,GK43,CAD,SAN MATEO - CC UNISUR,TRONCAL,Refuerzo,BIARTICULADO,16:15 - 22:00,0,0,OPERATIVA,15.028,15.03230665,,,,editorTroncal,2024/02/13 19:26:12+00,1,2,{D3BD60B0-D017-43D6-8E21-FB4E9CCB5EC7},15032.3066529891
2,G47,G47,GM47,MUSEO NACIONAL - FNG,PORTAL SUR - JFK Coop. Financiera,TRONCAL,Normal,BIARTICULADO,04:30 - 23:00,05:00 - 23:00,04:30 - 22:00,OPERATIVA,13.466,13.42821073,,,,editorTroncal,2024/12/05 17:37:27+00,1,2,{86834442-7085-43B5-9174-26E585ED1022},13428.2107265752
3,F51,F51,FM51,MUSEO NACIONAL - FNG,PORTAL AMÉRICAS,TRONCAL,Normal,BIARTICULADO,05:00 - 23:00,05:00 - 23:00,0,OPERATIVA,14.916,14.92051726,,,,editorTroncal,2024/12/05 17:37:27+00,1,2,{BF15AEAD-2841-4173-AD32-968EA22BBACF},14920.5172633678
4,F23,F23,FJ23,LAS AGUAS - CENTRO COLOMBO AMERICANO,PORTAL AMÉRICAS,TRONCAL,Normal,BIARTICULADO,05:00 - 23:00,05:00 - 23:00,05:30 - 22:00,OPERATIVA,14.454,14.45862109,,,,editorTroncal,2024/01/22 18:05:24+00,1,2,{C7C93DB0-79A5-4FB6-A0F6-4008EED40F63},14458.6210940149
5,L10,L10,KL10,PORTAL EL DORADO – C.C. NUESTRO BOGOTÁ,PORTAL 20 DE JULIO,TRONCAL,Normal,BIARTICULADO,05:00 - 23:00,05:00 - 23:00,04:30 - 22:00,OPERATIVA,17.431,17.44256199,,,,editorTroncal,2024/12/27 13:43:10+00,1,2,{AE6AA23B-29C5-42DF-9B55-030BDE9B5FDB},17442.5619879057
6,G22,G22,DG22,PORTAL 80,PORTAL SUR - JFK Coop. Financiera,TRONCAL,Normal,BIARTICULADO,05:00 - 23:00,05:00 - 23:00,05:30 - 22:00,OPERATIVA,23.5,23.50713378,,,,editorTroncal,2024/01/22 18:05:20+00,1,2,{AF84FF8C-045A-45AF-A2C1-5D925FDC297E},23507.1337819356
7,4-2,4 P,4,PORTAL SUR - JFK Coop. Financiera,HÉROES,TRONCAL,Normal,ARTICULADO,04:00 - 23:00,04:00 - 23:00,04:00 - 22:00,OPERATIVA,19.249,19.25706859,,,,editorTroncal,2024/08/21 14:27:07+00,1,1,{281F67CB-AB60-4143-AF06-1BA334222554},19257.0685942775
8,M51,M51,FM51,PORTAL AMÉRICAS,MUSEO NACIONAL - FNG,TRONCAL,Normal,BIARTICULADO,04:30 - 23:00,04:30 - 23:00,0,OPERATIVA,15.487,15.49358753,,,,editorTroncal,2024/12/05 17:37:27+00,1,2,{3B6B5A12-049D-4BC2-A02F-E2FAFD598C5B},15493.5875332792
9,L41,L41,GL41,SAN MATEO - CC UNISUR,BICENTENARIO,TRONCAL,Normal,BIARTICULADO,04:30 - 21:00,04:30 - 21:00,0,OPERATIVA,15.136,15.49729439,,,,editorTroncal,2024/01/22 18:05:28+00,1,2,{B904A910-ED78-4A14-9048-6033B9704285},15497.2943851635
10,B13,B13,BH13,PORTAL TUNAL,PORTAL NORTE,TRONCAL,Normal,ARTICULADO,05:00 - 22:00,05:30 - 21:30,0,OPERATIVA,27.314,27.32081306,,,,editorTroncal,2024/01/22 18:05:25+00,1,1,{B4F45AF3-AD80-4C78-BC51-FDA394488628},27320.8130640441
12,F23B,F23B,FJ23,LAS AGUAS - CENTRO COLOMBO AMERICANO,BANDERAS,TRONCAL,Refuerzo,BIARTICULADO,6:15 - 08:00,0,0,OPERATIVA,9.931,9.9342643,,,,editorTroncal,2024/01/22 18:05:32+00,1,2,{A2FBAAED-5AC3-41BA-9139-63D0B9B4CDF2},9934.26429990061
